Animal_id Breed FX2 FX3 FX4 FX5 FX6 FX7 NAVEL COLOR Management_group Sex Proportion_taurine prob hap1 hap2
012219 TC NPG07 10 Alexandria 0 NA Alexandria 7.5 3.5 HD1__13339 Steer_[S] 0.671165 1 74 72
012221 TC PTR01 10 Alexandria 0 NA Alexandria 8.5 2 HD1__10686 Heifer_[H] 0.637399 1 72 72
012224 TC PBP01 10 Alexandria 0 NA Alexandria 8 4 HD1__10691 Heifer_[H] 0.658553 0.915425796265155 72 129
012227 TC PTR01 10 Alexandria 0 NA Alexandria 7.5 2 HD1__10950 Heifer_[H] 0.742944 0.983843188615212 6 126
012228 TC NPG07 10 Alexandria 0 NA Alexandria 6.66667 3.66667 HD1__10509 Steer_[S] 0.666834 1 145 143
012230 TC PTR01 10 Alexandria 0 NA Alexandria 8 4.5 HD1__10870 Heifer_[H] 0.66196 1 129 129
012231 TC PBP01 10 Alexandria 0 NA Alexandria 7.5 4.5 HD1__10881 Heifer_[H] 0.680709 1 129 120
012232 TC PTR01 10 Alexandria 0 NA Alexandria 7.5 3.5 HD1__492 Heifer_[H] 0.635751 0.915425796265155 129 72
012235 TC NPG02 10 Alexandria 0 NA NA 7 4 HD1__10510 Steer_[S] 0.669767 0.998960798809338 9 129
012238 TC PTR01 10 Alexandria 0 NA Alexandria 8.5 3 HD1__494 Heifer_[H] 0.721334 1 91 72
012239 TC NPG06 10 Alexandria 0 NA Alexandria 8 5.66667 HD1__13341 Steer_[S] 0.632117 0.941138983460667 129 30
012240 TC PTR01 10 Alexandria 0 NA Alexandria 9 4 HD1__10697 Heifer_[H] 0.762945 1 71 74
012241 TC PTR01 10 Alexandria 0 NA Alexandria 7.5 4 HD1__10905 Heifer_[H] 0.679852 0.96645915162258 145 22
012243 TC NPG07 10 Alexandria 0 NA Alexandria 7.33333 4 HD1__13343 Steer_[S] 0.670743 0.997867359772814 30 72
012247 TC PBP01 10 Alexandria 0 NA Alexandria 8.5 4 HD1__13345 Heifer_[H] 0.638064 0.992700491088257 71 30
012250 TC NPG06 10 Alexandria 0 NA Alexandria 9 4.66667 HD1__10512 Steer_[S] 0.687945 1 76 72
